ID,LATITUDE,LONGITUDE,SCHOOLNAME,ADDRESS,CITY,STATE
1783,30.42160924,-91.1836546,University Terrace Elementary School,575 West Roosevelt,Baton Rouge,LA
1784,29.48871351,-90.57405884,Upper Little Caillou Elementary School,4824 Hwy. 56,Chauvin,LA
1785,30.83700422,-91.67015822,Upper Pointe Coupee Elementary School,4739 LA Highway 419 West,Batchelor,LA
1786,29.94121214,-90.11406089,Ursuline Academy (Girls) (C),2635 State Street,New Orleans,LA
1787,29.94121214,-90.11406089,Ursuline Elementary Academy (Girls) (C),2635 State Street,New Orleans,LA
1788,29.78911339,-91.71575879,V. B. Glencoe Charter School,4491 La Hwy 83,Franklin,LA
1789,29.94541175,-90.68275873,Vacherie Elementary School,13440 Highway 644,Vacherie,LA
1790,29.92991178,-90.66835881,Vacherie Primary School,19177 Highway 643,Vacherie,LA
1791,29.97838226,-90.06338718,Valena C. Jones Elementary School,1901 North Galvez Street,New Orleans,LA
1792,30.42750925,-91.14325461,Valley Park School,4510 Bawell,Baton Rouge,LA
1793,30.52880448,-91.53316023,Valverda Elementary School,1653 Valverda Road,Maringouin,LA
1794,29.60371387,-90.75075898,Vandebilt Catholic High School (C),209 South Hollywood Road,Houma,LA
1795,30.89960071,-89.81235112,Varnado Elementary School,64139 Jones Creek Road,Angie,LA
1796,30.89290095,-89.83255109,Varnado High School,25543 Washington Street,Varnado,LA
1797,31.65819106,-92.67865299,Verda Elementary School,2580 Highway 122,Montgomery,LA
1798,29.97950861,-92.14026046,Vermilion Catholic High School (C),425 Park Avenue,Abbeville,LA
1799,31.15079017,-93.27605126,Vernon Middle School,1410 Nona Street,Leesville,LA
1800,31.14309026,-93.26745139,Vernon Parish Optional School,401 Nolan Trace,Leesville,LA
1801,29.8989122,-90.1342607,Vic A. Pitre Elementary School,1525 Spruce Street,Westwego,LA
1802,30.49070898,-91.03475438,Victory Academy,3953 North Flannery Road,Baton Rouge,LA
1803,31.57419847,-91.45345232,Vidalia High School,2201 Murray Drive,Vidalia,LA
1804,31.5610987,-91.43295255,Vidalia Junior High School,210 Gillespie Street,Vidalia,LA
1805,31.57079853,-91.42875257,Vidalia Lower Elementary School,300 Stampley Street,Vidalia,LA
1806,31.56439864,-91.42315264,Vidalia Upper Elementary School,1 Concordia Avenue,Vidalia,LA
1807,30.70059404,-92.34046225,Vidrine Elementary School,5094 Vidrine Road,Ville Platte,LA
1808,30.46440908,-91.07635448,Villa del Rey Elementary School,9765 Cuyhanga Pkwy,Baton Rouge,LA
1809,29.58521354,-90.65665899,Village East Elementary School,315 Lafayette Woods,Houma,LA
1810,30.68249451,-92.27846312,Ville Platte Elementary School,708 High School Drive,Ville Platte,LA
1811,30.68669442,-92.27686315,Ville Platte High School,210 West Cotton Street,Ville Platte,LA
1812,30.1476997,-93.35906173,Vincent Settlement Elementary School,1072 Vincent Settlement Road,Sulphur,LA
1813,30.19259914,-93.58176261,Vinton Elementary School,1610 Hampton Street,Vinton,LA
1814,30.18149919,-93.58016259,Vinton High School,1603 Grace Street,Vinton,LA
1815,30.19579913,-93.58126263,Vinton Middle School,900 Horridge Street,Vinton,LA
1816,29.85481246,-90.10936064,Visitation of Our Lady School (C),3520 Ames Boulevard,Marrero,LA
1817,32.87528615,-93.98515645,Vivian Elementary/Middle School,100 West Kentucky Avenue,Vivian,LA
1818,30.85440347,-90.14464985,Vocational Career Center,616 T.W. Barker Drive,Franklinton,LA
1819,29.56491376,-90.67645895,Vocational Technical High/TVRC,3051 Patriot Drive,Houma,LA
1820,30.23420571,-91.99876284,Volunteers of America Juvenile Day Program,421 Carmel Drive,Lafayette,LA
1821,29.99560712,-90.08181917,Vorice Jackson Waters Elementary School,3800 Cadillac Street,New Orleans,LA
1822,30.21930593,-92.0007627,W. D. Smith Career Center,200 18th Street,Lafayette,LA
1823,29.8917212,-89.89822731,W. Smith Jr. Elementary School,6701 St. Bernard Hwy.,Violet,LA
1824,30.21829964,-93.37036186,W. T. Henning Elementary School,774 Henning Drive,Sulphur,LA
1825,30.23109963,-93.36006174,W. W. Lewis Middle School,1752 Cypress,Sulphur,LA
1826,30.48119657,-92.60695911,W. W. Stewart Elementary School,1032 Belton Street,Basile,LA
1827,30.25801158,-89.7799625,W.L. Abney Elementary School,825 Kostmayer Avenue,Slidell,LA
1828,31.29128958,-92.43265826,W.O. Hall Elementary School,3111 Jones Street,Alexandria,LA
1829,29.78341427,-91.49925832,W.P. Foster Elementary School,101 Second Street,Franklin,LA
1830,29.78211354,-90.82935893,W.S. Lafargue Elementary School,700 Plantation Road,Thibodaux,LA
1831,29.92431174,-90.2179605,Waggaman Special School,6801 River Road,Waggaman,LA
1832,30.4907086,-90.86725461,Walker Elementary School,13327 Wildcat Drive,Walker,LA
1833,30.48930864,-90.87485461,Walker High School,12646 Burgess Avenue,Walker,LA
1834,30.4891086,-90.86295463,Walker Junior High School,13443 Burgess Avenue,Walker,LA
1835,32.50768335,-93.69945152,Waller Elementary School,1130 Patricia Drive,Bossier City,LA
1836,32.38828284,-93.90015188,Walnut Hill Elementary/Middle School,9360 Woolworth Road,Shreveport,LA
1837,30.02471109,-90.23246032,Walter G. Schneckenburger Elem School,26 Earnest Street,Kenner,LA
1838,29.93055327,-90.09406893,Walter L. Cohen High School,3520 Dryades Street,New Orleans,LA
